method,,HF,HF,HF,MP2,MP2,MP2,CCSD,CCSD,CCSD,CCSD\(T\),CCSD\(T\),CCSD\(T\)
component,,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ,XX,YY,ZZ
molecule,basis,,,,,,,,,,,,
N2,CBS,0.742770307,0.742770307,1.301296316,0.736579091,0.736579091,1.304939397,0.736866766,0.736866766,1.302611298,0.737229889,0.737229889,1.303305276
Na,5Z,0,0,0,0,0,0,0,0,0,0,0,0
Na,QZ,0.906892791,0.906892791,0.906892791,0.892267998,0.892267998,0.892267998,0.892288375,0.892288375,0.892288375,0.891506078,0.891506078,0.891506078
Na,TZ,0.9071387,0.9071387,0.9071387,0.894918182,0.894918182,0.894918182,0.895174644,0.895174644,0.895174644,0.894646404,0.894646404,0.894646404
Na,CBS,0.906892791,0.906892791,0.906892791,0.890513527,0.890513527,0.890513527,0.890361626,0.890361626,0.890361626,0.889393936,0.889393936,0.889393936
Ne,5Z,0.558995481,0.558995481,0.558995481,0.566021653,0.566021653,0.566021653,0.563959669,0.563959669,0.563959669,0.564872118,0.564872118,0.564872118
Ne,QZ,0.559341181,0.559341181,0.559341181,0.566520531,0.566520531,0.566520531,0.564544515,0.564544515,0.564544515,0.565438335,0.565438335,0.565438335
Ne,TZ,0.559865969,0.559865969,0.559865969,0.567433269,0.567433269,0.567433269,0.565681457,0.565681457,0.565681457,0.56653377,0.56653377,0.56653377
Ne,CBS,0.558995481,0.558995481,0.558995481,0.56586094,0.56586094,0.56586094,0.760936741,0.760936741,0.760936741,0.761715781,0.761715781,0.761715781
NH3,5Z,0,0,0,0,0,0,0,0,0,0,0,0
NH3,QZ,0.966152311,0.96614515,0.890494715,0.970809276,0.970804657,0.870933674,0.968677265,0.968675217,0.865053586,0.969884348,0.969879724,0.867381231
NH3,TZ,0.966352366,0.966349053,0.890618043,0.972049718,0.972045105,0.872263035,0.970026107,0.970021485,0.866588675,0.97125468,0.971255211,0.86891226
NH3,CBS,0.966152311,0.96614515,0.890494715,0.970050075,0.97004826,0.870053597,0.967838962,0.9678416,0.864023383,0.969030363,0.969024786,0.866353989
NH3O,5Z,0,0,0,0,0,0,0,0,0,0,0,0
NH3O,QZ,0,0,0,0,0,0,0,0,0,0,0,0
NH3O,TZ,0.860145261,0.860147735,1.581355155,0.87094656,0.870949779,1.586182907,0.867309447,0.867311079,1.584005844,0.869302476,0.869307299,1.585065606
NH3O,CBS,0,0,0,0,0,0,0,0,0,0,0,0
O2,5Z,0,0,0,0,0,0,0,0,0,0,0,0
O2,QZ,0.683894793,0.683894793,1.334297396,0.683998445,0.683998445,1.336766057,0.684496255,0.684496255,1.335730039,0.685169322,0.685169322,1.336235286
O2,TZ,0.684492448,0.684492448,1.334414056,0.68539961,0.68539961,1.337219501,0.686008019,0.686008019,1.336307782,0.686695532,0.686695532,1.336832681
O2,CBS,0.683894793,0.683894793,1.334297396,0.6834121,0.6834121,1.336520296,0.683829204,0.683829204,1.335393572,0.684491729,0.684491729,1.335884479
OF,5Z,0.635163355,0.668266708,1.433451192,0.661302719,0.661293824,1.442265608,0.658564025,0.65855286,1.435294242,0.660105243,0.660091876,1.432884645
OF,QZ,0.635486889,0.668790054,1.433437641,0.661956187,0.661942858,1.44239332,0.659296051,0.659282667,1.435387538,0.660815533,0.66080218,1.433031618
OF,TZ,0.636075024,0.669682069,1.433554623,0.64695492,0.67911112,1.442811548,0.644022801,0.677265803,1.435733832,0.645500777,0.678738558,1.433534891
OF,CBS,0.635163355,0.668266708,1.433451192,0,0,0,0,0,0,0,0,0
OH,5Z,0.668527342,0.744620953,0.836345126,0.753356059,0.788649263,0.636421637,0.750333858,0.786730852,0.636054898,0.751935143,0.786660233,0.635486907
OH,QZ,0.668681784,0.744887163,0.836455693,0.677196557,0.788927468,0.636316876,0.674870897,0.787013264,0.635950076,0.676141551,0.78694973,0.63537762
OH,TZ,0.668854717,0.745458083,0.836804607,0.755440137,0.789845904,0.636111669,0.752747423,0.787958609,0.635670467,0.754336219,0.787912779,0.635097759
